SubjectID,chsev.fear.001_BOTTOM_X_ctx_rh_G_front_inf-Opercular,chsev.fear.001_BOTTOM_X_ctx_rh_G_Ins_lg_and_S_cent_ins,chsev.fear.001_BOTTOM_X_ctx_rh_Lat_Fis-post,chsev.fear.001_BOTTOM_X_ctx_rh_G_insular_short,chsev.fear.001_TOP_X_ctx_rh_G_Ins_lg_and_S_cent_ins,chsev.fear.001_BOTTOM_X_Right-Cerebral-White-Matter,chsev.fear.001_TOP_X_ctx_rh_G_insular_short,chsev.fear.001_BOTTOM_X_Right-Putamen,chsev.fear.001_TOP_X_ctx_rh_S_circular_insula_sup,chsev.fear.001_BOTTOM_X_Right-Pallidum,chsev.fear.001_TOP_X_ctx_rh_G_front_inf-Opercular,chsev.fear.001_TOP_X_ctx_rh_S_front_inf,chsev.fear.001_BOTTOM_X_ctx_rh_S_circular_insula_sup,chsev.fear.001_BOTTOM_X_ctx_rh_S_circular_insula_inf,chsev.fear.003_BOTTOM_X_Right-Cerebral-White-Matter,chsev.fear.002_PRECUNEOUS_X_Right-Cerebral-White-Matter,chsev.fear.002_PRECUNEOUS_X_ctx_rh_G_cingul-Post-ventral,chsev.fear.001_TOP_X_Right-Putamen,chsev.fear.002_PRECUNEOUS_X_Left-Cerebral-White-Matter,chsev.fear.002_PRECUNEOUS_X_ctx_lh_G_precuneus,chsev.fear.002_PRECUNEOUS_X_ctx_lh_G_cuneus,chsev.fear.002_PRECUNEOUS_X_ctx_rh_G_precuneus,chsev.fear.001_TOP_X_Right-Cerebral-White-Matter,chsev.fear.002_PRECUNEOUS_X_ctx_rh_S_parieto_occipital,chsev.fear.001_TOP_X_ctx_rh_S_precentral-inf-part,chsev.fear.002_PRECUNEOUS_X_ctx_rh_S_calcarine,chsev.fear.003_BOTTOM_X_ctx_rh_G_front_inf-Orbital,chsev.fear.003_BOTTOM_X_ctx_rh_G_front_inf-Triangul,chsev.fear.003_BOTTOM_X_ctx_rh_G_orbital,chsev.fear.003_BOTTOM_X_ctx_rh_S_front_inf,chsev.fear.004_X_ctx_lh_S_front_sup,chsev.fear.003_BOTTOM_X_ctx_rh_S_orbital_lateral,chsev.fear.004_X_ctx_lh_G_front_middle,chsev.fear.004_X_Left-Cerebral-White-Matter,eptot.fear_001_X_ctx_lh_G_cingul-Post-dorsal,eptot.fear_001_X_ctx_lh_G_precuneus,eptot.fear_001_X_ctx_lh_S_pericallosal,eptot.fear_001_X_ctx_lh_S_subparietal,eptot.fear_001_X_ctx_rh_G_precuneus,eptot.fear_001_X_ctx_rh_G_cingul-Post-dorsal,eptot.fear_001_X_ctx_rh_S_cingul-Marginalis,eptot.fear_001_X_ctx_rh_S_subparietal,eptot.fear_001_X_ctx_rh_S_pericallosal,eptot.fear_001_X_Left-Cerebral-White-Matter,eptot.fear_001_X_Right-Cerebral-White-Matter,eptot.fear_002_X_ctx_lh_G_and_S_cingul-Mid-Ant,eptot.fear_002_X_ctx_rh_G_and_S_cingul-Mid-Post,eptot.fear_002_X_ctx_rh_G_and_S_cingul-Mid-Ant,eptot.fear_002_X_ctx_lh_G_and_S_cingul-Mid-Post,eptot.fear_002_X_ctx_rh_S_pericallosal,eptot.fear_002_X_Left-Cerebral-White-Matter,eptot.fear_002_X_Right-Cerebral-White-Matter,gad_lead.fear_001_X_ctx_lh_G_insular_short,gad_lead.fear_001_X_ctx_lh_G_front_inf-Opercular,gad_lead.fear_001_X_ctx_lh_Lat_Fis-ant-Vertical,gad_lead.fear_001_X_ctx_lh_S_circular_insula_sup,gad_lead.fear_001_X_ctx_lh_S_front_inf,gad_lead.fear_001_X_Left-Cerebral-White-Matter,socanx_lead.fear_001_X_ctx_lh_G_front_sup,socanx_lead.fear_001_X_ctx_lh_G_front_middle,socanx_lead.fear_001_X_ctx_lh_G_precentral,socanx_lead.fear_002_X_Right-Cerebral-White-Matter,socanx_lead.fear_002_X_ctx_rh_S_precentral-sup-part,socanx_lead.fear_002_X_ctx_rh_G_precentral,socanx_lead.fear_001_X_FreeSurfer_a2009s,chsev.fear.001_BOTTOM_X_FreeSurfer_a2009s,chsev.fear.004_X_FreeSurfer_a2009s,chsev.fear.003_BOTTOM_X_FreeSurfer_a2009s,chsev.fear.002_PRECUNEOUS_X_FreeSurfer_a2009s,socanx_lead.fear_002_X_FreeSurfer_a2009s,gad_lead.fear_001_X_FreeSurfer_a2009s,eptot.fear_002_X_FreeSurfer_a2009s,eptot.fear_001_X_FreeSurfer_a2009s,chsev.fear.001_TOP_X_FreeSurfer_a2009s
1001_01,0.776407,-0.259993,0.388142,1.526727,1.380105,0.517896,2.010153,0.77713,1.953209,0.837368,1.847647,1.907978,1.751079,-0.829543,-0.45662200000000003,-0.754039,0.303082,2.434384,-0.442083,0.236954,-1.122256,-0.6429010000000001,1.6953200000000002,-1.5952600000000001,1.51642,-1.168626,1.651491,-0.202927,1.827446,-1.486094,1.7180369999999998,0.774963,1.602835,2.055041,-0.546188,-0.020534,-0.8791979999999999,-0.08219,0.115852,-0.075433,0.252203,0.333471,-0.24012600000000003,-0.9424799999999999,-0.205846,-1.866178,-1.183894,-1.485123,-1.777159,-0.6746989999999999,-1.6025049999999998,-0.825126,2.02617,1.792745,2.3116830000000004,1.423956,3.346407,1.2693,1.1966219999999999,2.392831,0.9751489999999999,0.371106,-0.36653600000000003,0.427154,1.437133,0.5939369999999999,1.8771810000000002,0.04891,-0.524737,0.360622,1.407818,-1.272304,-0.330588,1.725223
1001_02,-0.45123100000000005,1.032425,0.696673,0.721993,0.8939950000000001,0.668504,1.11429,0.471329,1.241097,0.554145,0.8649709999999999,1.0850520000000001,1.067468,0.63235,-0.012616,-0.84431,-0.478785,1.152141,-0.377226,-0.263437,-2.6899450000000003,-1.147921,1.258483,-1.842356,1.469907,-0.015113,0.761319,0.045519,-0.35715,0.296324,0.200399,0.087418,1.543319,0.747819,2.2028,2.435124,1.968995,1.410733,0.2149,1.696289,-0.203544,0.497429,1.116335,1.8181740000000002,0.713662,-1.590847,1.034499,-0.368123,0.5338,-0.823868,1.203247,0.566423,0.16717,0.161978,0.7258100000000001,0.171978,-0.056614,0.5633600000000001,-1.321779,-2.165234,-2.433178,-0.464975,0.661994,-1.177452,-1.581905,0.67598,0.8414209999999999,0.030844999999999997,-0.894862,-0.950434,0.520822,0.44678100000000004,1.264637,1.255617
1001_03,0.499646,1.8583150000000002,0.9330360000000001,1.293762,2.641762,0.628112,2.473229,0.599205,2.410446,0.627296,0.986612,-1.1011229999999999,2.49708,0.702998,-0.923025,0.353963,0.423651,1.320376,0.497691,0.567172,-3.389436,-0.154671,1.436703,-0.786463,0.156141,-0.059883000000000006,-1.118746,0.190092,-2.091491,-0.161103,0.656242,-1.385793,2.191814,1.4937129999999998,2.060717,3.116359,0.48958199999999996,1.786803,0.231634,1.8740459999999999,-0.544726,0.189598,0.967441,1.6605860000000001,0.7725069999999999,-1.702084,-0.503815,-1.288362,-0.530053,-1.471376,0.091227,-0.710309,-1.0718,-0.481418,-0.644827,-1.950821,-1.409326,-1.1444940000000001,-0.5296770000000001,-0.082094,0.902717,0.17407999999999998,-0.6081310000000001,0.57152,-0.331452,0.786245,1.5071860000000001,-0.9943780000000001,0.037677999999999996,0.433366,-1.164059,-0.695022,1.252182,1.422655
1001_04,2.167783,3.7502150000000003,3.019566,2.347279,3.0977770000000002,1.6489369999999999,2.50029,1.712748,3.106835,1.627214,2.338215,-0.027032999999999998,2.955996,3.353568,0.211848,1.206413,0.845325,1.2201549999999999,1.254885,1.4638440000000001,1.969106,1.3355549999999998,1.8948470000000002,0.6004659999999999,0.888389,1.186342,-0.109859,1.3090469999999998,-2.679025,2.184468,-1.771959,-0.993186,-0.077749,-0.925117,0.172677,-0.290796,-0.624454,0.635692,-1.169823,-0.064566,-1.27473,-0.38905300000000004,-1.296789,0.216144,-0.20206,2.663015,1.36468,1.391266,2.12661,0.638999,1.216021,0.699024,0.721672,-0.17628,0.367752,0.8396530000000001,-0.5621470000000001,0.8641110000000001,2.919232,0.075195,3.797937,1.7377580000000001,0.794266,2.66208,2.37256,1.886797,-0.876129,-0.133735,1.269762,2.406454,0.7753720000000001,1.217441,-0.050375,1.955095
1001_05,-0.147481,-0.638872,-0.9879610000000001,-0.596942,-0.077431,-0.668987,-0.353205,-0.7549020000000001,-0.47457200000000005,-0.7971520000000001,-0.141213,-1.246921,-0.45056999999999997,-1.067935,0.8591979999999999,0.063686,-1.200106,-0.3565,0.42021499999999995,0.334606,-1.8702400000000001,-0.043309,-0.984649,-1.27391,-0.970233,-1.7560349999999998,1.1245040000000002,1.0334510000000001,0.906783,1.115046,1.174159,0.968844,1.591377,1.332235,1.072144,0.665191,0.9011790000000001,1.468323,0.179878,0.9918790000000001,-0.151819,0.498066,1.2944200000000001,1.261118,0.269677,0.802272,0.039781,-0.68586,0.7186600000000001,-2.0706029999999997,0.877906,-0.5613229999999999,0.337959,0.5762010000000001,1.2030399999999999,0.917249,0.776066,0.692816,2.659223,2.652434,2.938505,2.404939,1.902381,2.3866560000000003,2.677717,-0.6833359999999999,1.3666209999999999,0.920269,-0.145359,2.352621,0.7368180000000001,-0.119309,0.7500720000000001,-0.8752049999999999
1001_06,-0.20490300000000003,2.211811,1.804715,0.46161899999999995,2.3804950000000002,0.293083,1.538402,1.061186,1.037176,0.88003,0.2369,-0.9015479999999999,1.677884,1.843056,0.060136,-0.296266,-1.177093,0.531782,0.659301,0.241321,-2.993682,-0.538799,0.733,-0.335337,0.7032079999999999,-0.563724,3.4944919999999997,2.516225,-1.44645,1.881558,-0.442425,0.46766599999999997,2.11501,0.492447,0.493989,-0.25042800000000004,0.128943,0.15995299999999998,-1.221865,0.38203899999999996,-1.4757870000000002,-0.8266870000000001,-0.263338,0.5565100000000001,-0.146879,-0.22052399999999997,-0.094705,-0.737716,0.177242,-1.4444190000000001,0.076825,-0.381371,1.967287,1.333366,2.182434,1.214821,1.218904,0.5265029999999999,2.15326,1.279825,4.23728,3.4860019999999996,2.847261,3.383432,2.114954,0.591932,0.718305,0.45488900000000004,-0.341597,3.3560410000000003,0.709182,-0.298551,0.083313,0.7588779999999999
1001_07,-1.0432379999999999,0.865568,1.482785,-1.226683,0.8217049999999999,1.644736,-0.147974,0.04568,0.986979,-0.9130809999999999,-0.139372,-1.921886,2.048348,0.879913,0.056297,1.422871,0.548513,0.7334609999999999,1.78325,1.425942,-0.334555,1.2983120000000001,1.03172,0.046415,-0.385764,0.784874,-0.30088200000000004,0.76337,-2.10622,0.896475,1.4434,-0.8935069999999999,2.530452,1.9399810000000002,2.321133,0.619169,1.624581,0.07565,0.5100640000000001,2.659938,0.529608,1.058395,2.534872,1.134634,1.615135,-1.393745,-0.030748,-1.086957,-0.8452649999999999,-2.905734,-0.6548930000000001,-1.127338,-1.290467,-1.502435,-0.9886889999999999,-1.350415,0.030737999999999998,-0.243794,-2.759368,-0.6154350000000001,-0.698181,-0.682295,-0.32972199999999996,-1.0479610000000001,-2.152726,1.470468,1.992103,-0.240729,1.213492,-0.948385,-0.384021,-0.8958520000000001,1.5864129999999999,0.808693
1001_08,-0.661506,-1.0549030000000001,-0.743108,0.887609,-0.616111,-0.534327,0.41540200000000005,-0.792506,-0.138329,-0.6835060000000001,-0.448824,-0.14418399999999998,-0.40128600000000003,-0.5934699999999999,-0.050424000000000004,-0.35232199999999997,-0.7286050000000001,-0.49098,0.6362399999999999,0.344634,-0.754953,-0.5584100000000001,0.674784,-0.26371300000000003,2.183506,-0.19259300000000001,0.414904,1.492912,-1.7999439999999998,0.9715950000000001,0.690487,-0.861591,0.9438209999999999,0.8359629999999999,1.318683,1.1706219999999998,0.513378,-0.036095999999999996,0.014081,1.486931,-0.149618,0.616123,0.8802200000000001,0.903459,1.5215239999999999,-3.308414,-0.06364299999999999,-1.313767,-1.6848319999999999,-1.732144,-1.333608,-0.446593,0.829983,-1.363093,-1.16486,-1.522057,-1.844973,-1.075741,-0.6584409999999999,-0.8132159999999999,-1.297461,-1.2169459999999999,-0.368179,-1.030614,-0.737252,-0.568775,0.834951,-0.194999,-0.285314,-1.0042229999999999,-1.13095,-0.9571149999999999,1.17619,0.664401
1001_09,-0.154976,-0.659169,-0.983922,-0.298291,-0.6464979999999999,-0.442845,-0.9152450000000001,-1.538519,0.003481,-1.30938,0.10401600000000001,-1.419913,-0.306657,-1.0140069999999999,-0.43783599999999995,2.711282,1.8444,-0.774371,2.5206630000000003,2.501161,1.6154979999999999,2.783964,-0.063993,2.917896,-0.354078,2.655935,-0.368342,-0.114699,-1.154724,0.561471,-1.103488,-0.5678300000000001,0.654496,-0.9790559999999999,0.759261,0.583485,-0.030838,0.089905,0.585327,0.784958,0.949508,0.35654,0.327581,0.608449,0.36899099999999996,-1.024093,0.169188,0.028592000000000003,-0.46920600000000007,-0.642571,-0.424058,0.256556,-0.616341,-1.10513,-1.148275,-0.315197,-0.384405,0.002519,1.144508,0.604256,-0.132199,0.232935,0.004224,1.089548,0.9375459999999999,-0.57055,-0.594597,-0.45466000000000006,2.664191,0.901072,-0.12043399999999999,-0.033752,0.503998,-0.10776500000000001
1001_10,-1.098459,1.2964,0.22298800000000002,-0.580634,1.179383,-1.0921319999999999,0.202653,-1.869504,0.105825,-2.140406,0.007679000000000001,1.014204,1.2814889999999999,0.149225,1.8502470000000002,-0.289285,-1.042403,-1.35106,0.755065,-0.073788,-3.241921,-0.7074239999999999,0.696585,-0.21306399999999998,1.462174,-0.21769000000000002,0.9932219999999999,1.996039,1.341652,2.947299,0.272254,1.648554,0.746567,0.005338,0.056029999999999996,-0.089644,-0.006690000000000001,0.053796000000000004,-1.041779,0.074673,-1.306034,-0.11275999999999999,-0.5956100000000001,0.402752,0.073616,-1.366098,-1.207365,-1.306573,-1.28575,-1.6712580000000001,-0.177079,-0.709805,2.1633,1.382724,1.9446400000000001,1.946998,2.215586,1.9095529999999998,-0.11468199999999999,-1.5431709999999998,1.663416,0.24356999999999998,-0.68345,0.9531299999999999,-0.29378000000000004,-0.8663290000000001,0.241975,1.787423,-0.454056,0.741691,1.912677,-0.8945069999999999,0.097001,0.653307
